no,id,nopol,km_akhir,no_kwitansi,no_invoice,hari,tgl,jam,bhnmtrl,id_brg,nama_brg,hpp,hrg_satuan,jml,diskon,ppn,subtotal,wkt_up,byr_dp,tgl_byr_dp,diskon_srv,bayar,tipe_byr,card_type,card_number,approve_code,tgl_selesai,jam_selesai,mekanik,officer,keluhan,keterangan,status,kasir,retur,tgl_retur,tgl_next_srv,del_reminder
16,2411280344,AB1698FF,0,WO-00003,20241211-0001,Rabu,2024-12-11,10:42:04,0,S00074,FASTRON ECOGREEN 0W-20 API SN 3_5L,180377,281000,1,0,0,281000,2024-12-11 10:42:04,0,0000-00-00,0,331000,TUNAI,,,,,2024-12-11,10:45:54,DAVA,ADMIN,,,DONE,ADMIN,0,0000-00-00,2025-03-11,0
55,2412132021,AA1012LE,215207,WO-00010,20241213-0012,Jumat,2024-12-13,08:16:54,0,S00027,FF3-TO-15601-AVZ-0 OIL FILTER 001 FORTAG AVZ-CLY-A,23052,39000,1,0,0,39000,2024-12-13 08:16:54,0,0000-00-00,0,1183000,TRF,BCA,,,,2024-12-13,16:43:43,EGA,SA1CS,"1. CEK AC AWAL NYALA BUNYI \n2. CEK TEKANAN ANGIN\n3. GIGI 5 GERENG",,DONE,ADMIN2,0,0000-00-00,2025-03-13,0
15,2411280344,AB1698FF,0,WO-00003,20241211-0001,Rabu,2024-12-11,10:40:27,0,L0378,GANTI OLI MESIN ,0,50000,1,0,0,50000,2024-12-11 10:40:50,0,0000-00-00,0,331000,TUNAI,,,,,2024-12-11,10:45:54,DAVA,ADMIN,,,DONE,ADMIN,0,0000-00-00,2025-03-11,0
34,2412112015,A1691TQ,27082,WO-00005,20241211-0003,Rabu,2024-12-11,14:08:49,0,L0297,GANTI OLI GARDAN / TRANSMISI MATIK ,0,120000,1,0,0,120000,2024-12-11 14:09:05,0,0000-00-00,0,498500,TUNAI,,,,,2024-12-11,14:22:07,ANDI,ADMIN,,,DONE,ADMIN,0,0000-00-00,2025-03-11,0
35,2412112015,A1691TQ,27082,WO-00005,20241211-0003,Rabu,2024-12-11,14:09:13,0,S00019,OIL ATF TOYOTA WS (4L),336421,378500,1,0,0,378500,2024-12-11 14:09:13,0,0000-00-00,0,498500,TUNAI,,,,,2024-12-11,14:22:07,ANDI,ADMIN,,,DONE,ADMIN,0,0000-00-00,2025-03-11,0
36,2411280836,AB1933IL,221041,WO-00001,20241211-0007,Rabu,2024-12-11,14:23:30,0,L0090,PERB, KELISTRIKAN RINGAN (WIRING HARNESS) ,0,150000,1,0,0,150000,2024-12-11 14:23:30,0,0000-00-00,0,156500,TUNAI,,,,,2024-12-11,15:01:14,ANDI,ADMIN,FOGLAMP KANAN MATI & MATI MENDADAK,,DONE,ADMIN,0,0000-00-00,2025-03-11,0
53,2412132021,AA1012LE,215207,WO-00010,20241213-0012,Jumat,2024-12-13,08:14:17,0,L0281,SERVICE BERKALA KELIPATAN 10.000 KM ,0,330000,1,0,0,330000,2024-12-13 08:15:02,0,0000-00-00,0,1183000,TRF,BCA,,,,2024-12-13,16:43:43,EGA,SA1CS,"1. CEK AC AWAL NYALA BUNYI \n2. CEK TEKANAN ANGIN\n3. GIGI 5 GERENG",,DONE,ADMIN2,0,0000-00-00,2025-03-13,0
40,2412112017,B1664SRN,144999,WO-00006,20241211-0008,Rabu,2024-12-11,15:57:48,0,L0287,SERVICE REM DEPAN ,0,120000,1,0,0,120000,2024-12-11 15:57:48,0,0000-00-00,0,179000,TRF,BCA,,,,2024-12-11,16:29:37,EGA,ADMIN,REM DEPAN BUNYI,,DONE,ADMIN,0,0000-00-00,2025-03-11,0
41,2412112017,B1664SRN,144999,WO-00006,20241211-0008,Rabu,2024-12-11,15:58:00,0,S00039,FORTAG BRAKE CLEANER,37861,59000,1,0,0,59000,2024-12-11 15:58:00,0,0000-00-00,0,179000,TRF,BCA,,,,2024-12-11,16:29:37,EGA,ADMIN,REM DEPAN BUNYI,,DONE,ADMIN,0,0000-00-00,2025-03-11,0
42,2412122018,AB1017FS,82670,WO-00007,20241212-0010,Kamis,2024-12-12,08:10:48,0,L0267,GANTI BUSHING ARM ,0,160000,2,0,0,320000,2024-12-12 08:11:12,200000,2024-12-12,0,680000,TRF,BCA,,,,2024-12-12,13:03:30,ANDI,SA1CS,,,LAMPU MUNDUR BAWAH MATI - SHOCK BAGASI BOCOR,DONE,ADMIN2,0,0000-00-00,2025-03-12,0
47,2412122018,AB1017FS,82670,WO-00007,20241212-0010,Kamis,2024-12-12,08:37:16,0,S00114,BUSH LOW ARM RU-888 MASUMA,150000,180000,2,0,0,360000,2024-12-12 08:37:16,200000,2024-12-12,0,680000,TRF,BCA,,,,2024-12-12,13:03:30,ANDI,ADMIN,,,LAMPU MUNDUR BAWAH MATI - SHOCK BAGASI BOCOR,DONE,ADMIN2,0,0000-00-00,2025-03-12,0
